"No.","Time","Source","Destination","Protocol","Length","Info"
"98","9.052007200","127.0.0.1","127.0.0.1","TCP","2590","63342  >  63756 [PSH, ACK] Seq=12848 Ack=4234 Win=200 Len=2546 [TCP PDU reassembled in 100]"
"99","9.052034200","127.0.0.1","127.0.0.1","TCP","44","63756  >  63342 [ACK] Seq=4234 Ack=15394 Win=182 Len=0"
"100","9.052161000","127.0.0.1","127.0.0.1","HTTP","1523","HTTP/1.1 200 OK  (text/html)"
"101","9.052178400","127.0.0.1","127.0.0.1","TCP","44","63756  >  63342 [ACK] Seq=4234 Ack=16873 Win=176 Len=0"
"102","9.058046300","127.0.0.1","127.0.0.1","WebSocket","52","WebSocket Connection Close [FIN] [MASKED]"
"103","9.058103000","127.0.0.1","127.0.0.1","TCP","44","63342  >  51348 [ACK] Seq=237 Ack=676 Win=64768 Len=0"
"104","9.058242100","127.0.0.1","127.0.0.1","TCP","44","51348  >  63342 [FIN, ACK] Seq=676 Ack=237 Win=65280 Len=0"
"105","9.058272600","127.0.0.1","127.0.0.1","TCP","44","63342  >  51348 [ACK] Seq=237 Ack=677 Win=64768 Len=0"
"106","9.059152900","127.0.0.1","127.0.0.1","WebSocket","48","WebSocket Connection Close [FIN] "
"107","9.059209900","127.0.0.1","127.0.0.1","TCP","44","51348  >  63342 [RST, ACK] Seq=677 Ack=241 Win=0 Len=0"
"110","9.088981200","127.0.0.1","127.0.0.1","HTTP","801","GET /favicon.ico HTTP/1.1 "
"111","9.089038600","127.0.0.1","127.0.0.1","TCP","44","63342  >  63756 [ACK] Seq=16873 Ack=4991 Win=197 Len=0"
"112","9.093327300","127.0.0.1","127.0.0.1","HTTP","1958","HTTP/1.1 200 OK  (image/vnd.microsoft.icon)"
"113","9.093373000","127.0.0.1","127.0.0.1","TCP","44","63756  >  63342 [ACK] Seq=4991 Ack=18787 Win=169 Len=0"
"114","9.395386100","127.0.0.1","127.0.0.1","TCP","56","52683  >  63342 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"115","9.395534500","127.0.0.1","127.0.0.1","TCP","56","63342  >  52683 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"116","9.395583500","127.0.0.1","127.0.0.1","TCP","44","52683  >  63342 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"117","9.396410200","127.0.0.1","127.0.0.1","HTTP","711","GET /jb-server-page?reloadMode=RELOAD_ON_SAVE&referrer=%2FWireshark%2520Web%2520Traffic%2520Analysis%2Findex.html HTTP/1.1 "
"118","9.396451700","127.0.0.1","127.0.0.1","TCP","44","63342  >  52683 [ACK] Seq=1 Ack=668 Win=64768 Len=0"
"119","9.399034400","127.0.0.1","127.0.0.1","HTTP","280","HTTP/1.1 101 Switching Protocols "
"120","9.399066700","127.0.0.1","127.0.0.1","TCP","44","52683  >  63342 [ACK] Seq=668 Ack=237 Win=65280 Len=0"
"121","12.028692200","127.0.0.1","127.0.0.1","TLSv1.2","152","Application Data"
"122","12.028756300","127.0.0.1","127.0.0.1","TCP","44","63744  >  63748 [ACK] Seq=400 Ack=433 Win=269 Len=0"
"123","12.034665500","127.0.0.1","127.0.0.1","TLSv1.2","70","Application Data"
"124","12.034727900","127.0.0.1","127.0.0.1","TCP","44","63748  >  63744 [ACK] Seq=433 Ack=426 Win=243 Len=0"
"125","12.034757400","127.0.0.1","127.0.0.1","TLSv1.2","151","Application Data"
"126","12.034781000","127.0.0.1","127.0.0.1","TCP","44","63748  >  63744 [ACK] Seq=433 Ack=533 Win=243 Len=0"
"127","12.117083900","127.0.0.1","127.0.0.1","HTTP","950","GET /Wireshark%20Web%20Traffic%20Analysis/index.html?_ijt=jht1a7c04lubumqk802e4orid1&_ij_reload=RELOAD_ON_SAVE HTTP/1.1 "
"128","12.117144100","127.0.0.1","127.0.0.1","TCP","44","63342  >  63756 [ACK] Seq=18787 Ack=5897 Win=193 Len=0"
"129","12.121631100","127.0.0.1","127.0.0.1","TCP","367","63342  >  63756 [PSH, ACK] Seq=18787 Ack=5897 Win=193 Len=323 [TCP PDU reassembled in 133]"
"130","12.121687700","127.0.0.1","127.0.0.1","TCP","44","63756  >  63342 [ACK] Seq=5897 Ack=19110 Win=168 Len=0"
"131","12.121986500","127.0.0.1","127.0.0.1","TCP","2590","63342  >  63756 [PSH, ACK] Seq=19110 Ack=5897 Win=193 Len=2546 [TCP PDU reassembled in 133]"
"132","12.122017400","127.0.0.1","127.0.0.1","TCP","44","63756  >  63342 [ACK] Seq=5897 Ack=21656 Win=158 Len=0"
"133","12.122158100","127.0.0.1","127.0.0.1","HTTP","1523","HTTP/1.1 200 OK  (text/html)"
"134","12.122179900","127.0.0.1","127.0.0.1","TCP","44","63756  >  63342 [ACK] Seq=5897 Ack=23135 Win=152 Len=0"
"135","12.131813000","127.0.0.1","127.0.0.1","WebSocket","52","WebSocket Connection Close [FIN] [MASKED]"
"136","12.131886800","127.0.0.1","127.0.0.1","TCP","44","63342  >  52683 [ACK] Seq=237 Ack=676 Win=64768 Len=0"
"137","12.132072100","127.0.0.1","127.0.0.1","TCP","44","52683  >  63342 [FIN, ACK] Seq=676 Ack=237 Win=65280 Len=0"
"138","12.132118300","127.0.0.1","127.0.0.1","TCP","44","63342  >  52683 [ACK] Seq=237 Ack=677 Win=64768 Len=0"
"139","12.138697800","127.0.0.1","127.0.0.1","WebSocket","48","WebSocket Connection Close [FIN] "
"140","12.138778800","127.0.0.1","127.0.0.1","TCP","44","52683  >  63342 [RST, ACK] Seq=677 Ack=241 Win=0 Len=0"
"143","12.180642400","127.0.0.1","127.0.0.1","HTTP","801","GET /favicon.ico HTTP/1.1 "
